Y/M/D,Team,VS_Team,SET_Won,SET_Lost,Point1,Point2,Point3,Point4,Point5,VS_Point1,VS_Point2,VS_Point3,VS_Point4,VS_Point5,SCORING_Total ABS,SCORING_Attack Points,SCORING_Block Points,SCORING_Serve Points,SCORING_Errors,ATTACK_Point,ATTACK_Errors,ATTACK_Attempts,ATTACK_Total,BLOCK_Point,BLOCK_Errors,BLOCK_Touches,BLOCK_Total,SERVE_Point,SERVE_Errors,SERVE_Attempts,SERVE_Total,RECEPTION_Successful,RECEPTION_Errors,RECEPTION_Attempts,RECEPTION_Total,DIG_Digs,DIG_Errors,DIG_Total,SET_Point,SET_Errors,SET_Attempts,SET_Total
2021-05-28,Bulgaria,France,0,3,25,21,23,-,-,27,25,25,-,-,14,9,2,3,-,9,5,11,25,2,7,0,9,3,5,18,26,8,1,10,19,3,0,5,2,0,22,24
2021-05-28,Bulgaria,France,0,3,25,21,23,-,-,27,25,25,-,-,13,12,1,0,-,12,6,5,23,1,0,2,3,0,6,15,21,10,2,5,17,2,0,2,1,0,22,23
2021-05-28,Bulgaria,France,0,3,25,21,23,-,-,27,25,25,-,-,18,15,2,1,-,15,4,9,28,2,0,0,2,1,6,17,24,4,1,15,20,4,0,4,0,0,31,31
2021-05-28,France,Bulgaria,3,0,27,25,25,-,-,25,21,23,-,-,17,14,2,1,-,14,5,8,27,2,1,0,3,1,7,18,26,9,3,9,21,7,0,8,2,1,25,28
2021-05-28,France,Bulgaria,3,0,27,25,25,-,-,25,21,23,-,-,17,11,4,2,-,11,1,12,24,4,2,1,7,2,8,15,25,7,0,8,15,2,0,2,0,0,23,23
2021-05-28,France,Bulgaria,3,0,27,25,25,-,-,25,21,23,-,-,16,14,1,1,-,14,2,10,26,1,1,0,2,1,4,19,24,8,1,9,18,2,0,3,1,0,22,23
2021-05-28,Australia,Germany,0,3,19,18,16,-,-,25,25,25,-,-,12,10,2,0,-,10,2,9,21,2,8,0,10,0,6,14,20,5,2,9,16,3,3,7,4,1,15,20
2021-05-28,Australia,Germany,0,3,19,18,16,-,-,25,25,25,-,-,10,10,0,0,-,10,5,8,23,0,5,4,9,0,3,15,18,4,1,14,19,5,6,11,5,0,16,21
2021-05-28,Australia,Germany,0,3,19,18,16,-,-,25,25,25,-,-,9,8,1,0,-,8,2,7,17,1,7,2,10,0,6,11,17,4,2,12,18,6,2,8,6,2,11,19
2021-05-28,Germany,Australia,3,0,25,25,25,-,-,19,18,16,-,-,17,14,1,2,-,14,2,5,21,1,5,3,9,2,7,14,23,6,0,8,14,9,1,10,8,0,14,22
2021-05-28,Germany,Australia,3,0,25,25,25,-,-,19,18,16,-,-,20,16,3,1,-,16,2,9,27,3,4,2,9,1,6,18,25,6,0,9,15,12,1,14,8,0,19,27
2021-05-28,Germany,Australia,3,0,25,25,25,-,-,19,18,16,-,-,15,12,1,2,-,12,2,8,22,1,6,2,9,2,6,16,24,2,0,9,11,9,0,10,5,0,17,22
2021-05-28,Iran,Japan,0,3,19,22,24,-,-,25,25,26,-,-,15,14,1,0,-,14,4,9,27,1,0,0,1,0,6,13,19,13,0,10,23,1,0,2,0,0,27,27
2021-05-28,Iran,Japan,0,3,19,22,24,-,-,25,25,26,-,-,19,12,7,0,-,12,4,11,27,7,0,0,7,0,7,16,23,8,0,13,21,3,0,3,1,1,26,28
2021-05-28,Iran,Japan,0,3,19,22,24,-,-,25,25,26,-,-,16,15,0,1,-,15,4,11,30,0,0,0,0,1,3,20,24,10,2,12,24,1,0,1,8,0,22,30
2021-05-28,Japan,Iran,3,0,25,25,26,-,-,19,22,24,-,-,17,15,2,0,-,15,3,7,25,2,0,1,3,0,2,23,25,7,0,6,13,2,0,2,0,0,25,25
2021-05-28,Japan,Iran,3,0,25,25,26,-,-,19,22,24,-,-,16,13,3,0,-,13,7,14,34,3,0,0,3,0,3,21,24,7,0,9,16,2,0,2,0,0,34,34
2021-05-28,Japan,Iran,3,0,25,25,26,-,-,19,22,24,-,-,21,17,2,2,-,17,3,15,35,2,3,1,6,2,2,22,26,11,1,9,21,6,0,7,4,1,30,35
2021-05-28,Serbia,Slovenia,3,1,22,25,36,25,-,25,18,34,18,-,18,16,2,0,-,16,6,15,37,2,6,1,9,0,5,17,22,5,1,16,22,11,0,11,12,0,24,36
2021-05-28,Serbia,Slovenia,3,1,22,25,36,25,-,25,18,34,18,-,21,16,3,2,-,16,2,4,22,3,2,1,6,2,5,18,25,4,0,10,14,4,3,7,8,0,12,20
2021-05-28,Serbia,Slovenia,3,1,22,25,36,25,-,25,18,34,18,-,26,21,5,0,-,21,9,10,40,5,10,2,17,0,6,29,35,12,2,13,27,14,3,18,10,0,31,41
2021-05-28,Serbia,Slovenia,3,1,22,25,36,25,-,25,18,34,18,-,18,13,4,1,-,13,2,7,22,4,5,0,9,1,3,21,25,5,1,10,16,6,3,10,7,0,15,22
2021-05-28,Slovenia,Serbia,1,3,25,18,34,18,-,22,25,36,25,-,16,13,2,1,-,13,3,11,27,2,2,2,6,1,3,21,25,4,0,13,17,10,7,18,10,0,16,26
2021-05-28,Slovenia,Serbia,1,3,25,18,34,18,-,22,25,36,25,-,13,11,2,0,-,11,3,7,21,2,3,1,6,0,4,14,18,4,2,14,20,4,7,12,13,0,8,21
2021-05-28,Slovenia,Serbia,1,3,25,18,34,18,-,22,25,36,25,-,23,17,4,2,-,17,6,14,37,4,4,3,11,2,8,25,35,11,0,18,29,8,8,17,11,1,26,38
2021-05-28,Slovenia,Serbia,1,3,25,18,34,18,-,22,25,36,25,-,14,12,1,1,-,12,9,5,26,1,5,1,7,1,2,15,18,7,1,14,22,5,5,12,9,0,16,25
2021-05-28,Netherlands,Russia,1,3,19,22,25,20,-,25,25,18,25,-,13,11,2,0,-,11,3,13,27,2,8,1,11,0,4,15,19,4,2,16,22,9,3,12,5,0,21,26
2021-05-28,Netherlands,Russia,1,3,19,22,25,20,-,25,25,18,25,-,13,13,0,0,-,13,3,4,20,0,4,1,5,0,8,15,23,1,1,15,17,7,3,10,8,0,12,20
