Season,Y/M/D,Team,VS_Team,SET_Won,SET_Lost,Point1,Point2,Point3,Point4,Point5,VS_Point1,VS_Point2,VS_Point3,VS_Point4,VS_Point5,SCORING_Total ABS,SCORING_Attack Points,SCORING_Block Points,SCORING_Serve Points,SCORING_Errors,ATTACK_Point,ATTACK_Errors,ATTACK_Attempts,ATTACK_Total,BLOCK_Point,BLOCK_Errors,BLOCK_Touches,BLOCK_Total,SERVE_Point,SERVE_Errors,SERVE_Attempts,SERVE_Total,RECEPTION_Successful,RECEPTION_Errors,RECEPTION_Attempts,RECEPTION_Total,DIG_Digs,DIG_Errors,DIG_Total,SET_Point,SET_Errors,SET_Attempts,SET_Total,Match_ID,Won,Attack_Efficiency,SERVE_Efficiency,RECEPTION_Efficiency,BLOCK_Efficiency,DIG_Efficiency,Serve_Efficiency,Reception_Efficiency
2021,2021-05-28,Argentina,Brazil,0,3,29,24,16,0,0,31,26,25,0,0,54,38,13,3,-,38,13,27,78,13,16,3,32,3,15,52,70,19,7,46,72,22,9,31,22,2,52,76,2021-05-28_Argentina_Brazil,0,0.9259259259259259,-0.23076923076923078,0.2608695652173913,-1.0,0.41935483870967744,-0.23076923076923078,0.2608695652173913
2021,2021-05-28,Brazil,Argentina,3,0,31,26,25,0,0,29,24,16,0,0,57,44,6,7,-,44,19,21,84,6,13,4,23,7,9,65,81,26,3,26,55,31,11,42,24,0,61,85,2021-05-28_Argentina_Brazil,1,1.1904761904761905,-0.03076923076923077,0.8846153846153846,-1.75,0.47619047619047616,-0.03076923076923077,0.8846153846153846
2021,2021-05-28,Australia,Germany,0,3,19,18,16,0,0,25,25,25,0,0,31,28,3,0,-,28,9,24,61,3,20,6,29,0,15,40,55,13,5,35,53,14,11,26,15,3,42,60,2021-05-28_Australia_Germany,0,0.7916666666666666,-0.375,0.22857142857142856,-2.8333333333333335,0.11538461538461539,-0.375,0.22857142857142856
2021,2021-05-28,Germany,Australia,3,0,25,25,25,0,0,19,18,16,0,0,52,42,5,5,-,42,6,22,70,5,15,7,27,5,19,48,72,14,0,26,40,30,2,34,21,0,50,71,2021-05-28_Australia_Germany,1,1.6363636363636365,-0.2916666666666667,0.5384615384615384,-1.4285714285714286,0.8235294117647058,-0.2916666666666667,0.5384615384615384
2021,2021-05-28,Bulgaria,France,0,3,25,21,23,0,0,27,25,25,0,0,45,36,5,4,-,36,15,25,76,5,7,2,14,4,17,50,71,22,4,30,56,9,0,11,3,0,75,78,2021-05-28_Bulgaria_France,0,0.84,-0.26,0.6,-1.0,0.8181818181818182,-0.26,0.6
2021,2021-05-28,France,Bulgaria,3,0,27,25,25,0,0,25,21,23,0,0,50,39,7,4,-,39,8,30,77,7,4,1,12,4,19,52,75,24,4,26,54,11,0,13,3,1,70,74,2021-05-28_Bulgaria_France,1,1.0333333333333334,-0.28846153846153844,0.7692307692307693,3.0,0.8461538461538461,-0.28846153846153844,0.7692307692307693
2021,2021-05-28,Canada,United States,0,3,17,24,20,0,0,25,26,25,0,0,39,30,6,3,-,30,16,34,80,6,10,11,27,3,9,51,63,17,4,37,58,36,11,48,18,2,61,81,2021-05-28_Canada_United States,0,0.4117647058823529,-0.11764705882352941,0.35135135135135137,-0.36363636363636365,0.5208333333333334,-0.11764705882352941,0.35135135135135137
2021,2021-05-28,United States,Canada,3,0,25,26,25,0,0,17,24,20,0,0,52,43,5,4,-,43,12,42,97,5,8,8,21,4,16,54,74,19,3,32,54,40,11,51,30,0,61,91,2021-05-28_Canada_United States,1,0.7380952380952381,-0.2222222222222222,0.5,-0.375,0.5686274509803921,-0.2222222222222222,0.5
2021,2021-05-28,Iran,Japan,0,3,19,22,24,0,0,25,25,26,0,0,50,41,8,1,-,41,12,31,84,8,0,0,8,1,16,49,66,31,2,35,68,5,0,6,9,1,75,85,2021-05-28_Iran_Japan,0,0.9354838709677419,-0.30612244897959184,0.8285714285714286,inf,0.8333333333333334,-0.30612244897959184,0.8285714285714286
2021,2021-05-28,Japan,Iran,3,0,25,25,26,0,0,19,22,24,0,0,54,45,7,2,-,45,13,36,94,7,3,2,12,2,7,66,75,25,1,24,50,10,0,11,4,1,89,94,2021-05-28_Iran_Japan,1,0.8888888888888888,-0.07575757575757576,1.0,2.0,0.9090909090909091,-0.07575757575757576,1.0
2021,2021-05-28,Italy,Poland,0,3,19,20,18,0,0,25,25,25,0,0,39,33,6,0,-,33,12,40,85,6,11,15,32,0,15,44,59,11,9,40,60,28,8,47,23,0,1,24,2021-05-28_Italy_Poland,0,0.525,-0.3409090909090909,0.05,-0.3333333333333333,0.425531914893617,-0.3409090909090909,0.05
2021,2021-05-28,Poland,Italy,3,0,25,25,25,0,0,19,20,18,0,0,56,39,8,9,-,39,10,30,79,8,11,24,43,9,13,51,73,25,0,19,44,32,6,44,30,0,0,30,2021-05-28_Italy_Poland,1,0.9666666666666667,-0.0784313725490196,1.3157894736842106,-0.125,0.5909090909090909,-0.0784313725490196,1.3157894736842106
2021,2021-05-28,Netherlands,Russia,1,3,19,22,25,20,0,25,25,18,25,0,61,49,6,6,-,49,14,26,89,6,21,15,42,6,18,63,87,15,10,49,74,33,9,47,27,0,61,88,2021-05-28_Netherlands_Russia,0,1.3461538461538463,-0.19047619047619047,0.10204081632653061,-1.0,0.5106382978723404,-0.19047619047619047,0.10204081632653061
2021,2021-05-28,Russia,Netherlands,3,1,25,25,18,25,0,19,22,25,20,0,71,51,10,10,-,51,11,32,94,10,24,14,48,10,18,64,92,20,6,43,69,31,16,49,38,0,50,88,2021-05-28_Netherlands_Russia,1,1.25,-0.125,0.32558139534883723,-1.0,0.30612244897959184,-0.125,0.32558139534883723
2021,2021-05-28,Serbia,Slovenia,3,1,22,25,36,25,0,25,18,34,18,0,83,66,14,3,-,66,19,36,121,14,23,4,41,3,19,85,107,26,4,49,79,35,9,46,37,0,82,119,2021-05-28_Serbia_Slovenia,1,1.3055555555555556,-0.18823529411764706,0.4489795918367347,-2.25,0.5652173913043478,-0.18823529411764706,0.4489795918367347
2021,2021-05-28,Slovenia,Serbia,1,3,25,18,34,18,0,22,25,36,25,0,66,53,9,4,-,53,21,37,111,9,14,7,30,4,17,75,96,26,3,59,88,27,27,59,43,1,66,110,2021-05-28_Serbia_Slovenia,0,0.8648648648648649,-0.17333333333333334,0.3898305084745763,-0.7142857142857143,0.0,-0.17333333333333334,0.3898305084745763
2021,2021-05-29,Argentina,Canada,0,3,17,21,17,0,0,25,25,25,0,0,34,27,5,2,-,27,19,25,71,5,14,3,22,2,16,38,56,17,4,39,60,19,12,32,18,1,51,70,2021-05-29_Argentina_Canada,0,0.32,-0.3684210526315789,0.3333333333333333,-3.0,0.21875,-0.3684210526315789,0.3333333333333333
2021,2021-05-29,Canada,Argentina,3,0,25,25,25,0,0,17,21,17,0,0,44,33,7,4,-,33,9,18,60,7,13,7,27,4,13,56,73,17,2,21,40,22,10,32,17,1,38,56,2021-05-29_Argentina_Canada,1,1.3333333333333333,-0.16071428571428573,0.7142857142857143,-0.8571428571428571,0.375,-0.16071428571428573,0.7142857142857143
2021,2021-05-29,Australia,Bulgaria,0,3,21,20,20,0,0,25,25,25,0,0,30,26,3,1,-,26,15,28,69,3,12,9,24,1,11,50,62,10,13,32,55,25,12,46,10,1,56,67,2021-05-29_Australia_Bulgaria,0,0.39285714285714285,-0.2,-0.09375,-1.0,0.2826086956521739,-0.2,-0.09375
